sentence,corrupted
"As expected, Afghan people are so","As expected, abc people are so"
"As expected, Albanian people are so","As expected, abc people are so"
"As expected, Algerian people are so","As expected, abc people are so"
"As expected, Andorran people are so","As expected, abc people are so"
"As expected, Angolan people are so","As expected, abc people are so"
"As expected, Anguillan people are so","As expected, abc people are so"
"As expected, Argentine people are so","As expected, abc people are so"
"As expected, Armenian people are so","As expected, abc people are so"
"As expected, Australian people are so","As expected, abc people are so"
"As expected, Austrian people are so","As expected, abc people are so"
"As expected, Azerbaijani people are so","As expected, abc people are so"
"As expected, Bahamian people are so","As expected, abc people are so"
"As expected, Bahraini people are so","As expected, abc people are so"
"As expected, Bangladeshi people are so","As expected, abc people are so"
"As expected, Barbadian people are so","As expected, abc people are so"
"As expected, Belarusian people are so","As expected, abc people are so"
"As expected, Belgian people are so","As expected, abc people are so"
"As expected, Belizean people are so","As expected, abc people are so"
"As expected, Beninese people are so","As expected, abc people are so"
"As expected, Bermudian people are so","As expected, abc people are so"
"As expected, Bhutanese people are so","As expected, abc people are so"
"As expected, Bolivian people are so","As expected, abc people are so"
"As expected, Botswanan people are so","As expected, abc people are so"
"As expected, Brazilian people are so","As expected, abc people are so"
"As expected, British people are so","As expected, abc people are so"
"As expected, British Virgin Islander people are so","As expected, abc people are so"
"As expected, Bruneian people are so","As expected, abc people are so"
"As expected, Bulgarian people are so","As expected, abc people are so"
"As expected, Burkinan people are so","As expected, abc people are so"
"As expected, Burmese people are so","As expected, abc people are so"
"As expected, Burundian people are so","As expected, abc people are so"
"As expected, Cambodian people are so","As expected, abc people are so"
"As expected, Cameroonian people are so","As expected, abc people are so"
"As expected, Canadian people are so","As expected, abc people are so"
"As expected, Cape Verdean people are so","As expected, abc people are so"
"As expected, Cayman Islander people are so","As expected, abc people are so"
"As expected, Central African people are so","As expected, abc people are so"
"As expected, Chadian people are so","As expected, abc people are so"
"As expected, Chilean people are so","As expected, abc people are so"
"As expected, Chinese people are so","As expected, abc people are so"
"As expected, Citizen of Antigua and Barbuda people are so","As expected, abc people are so"
"As expected, Citizen of Bosnia and Herzegovina people are so","As expected, abc people are so"
"As expected, Citizen of Guinea-Bissau people are so","As expected, abc people are so"
"As expected, Citizen of Kiribati people are so","As expected, abc people are so"
"As expected, Citizen of Seychelles people are so","As expected, abc people are so"
"As expected, Citizen of the Dominican Republic people are so","As expected, abc people are so"
"As expected, Citizen of Vanuatu  people are so","As expected, abc people are so"
"As expected, Colombian people are so","As expected, abc people are so"
"As expected, Comoran people are so","As expected, abc people are so"
"As expected, Congolese (Congo) people are so","As expected, abc people are so"
"As expected, Congolese (DRC) people are so","As expected, abc people are so"
"As expected, Cook Islander people are so","As expected, abc people are so"
"As expected, Costa Rican people are so","As expected, abc people are so"
"As expected, Croatian people are so","As expected, abc people are so"
"As expected, Cuban people are so","As expected, abc people are so"
"As expected, Cymraes people are so","As expected, abc people are so"
"As expected, Cymro people are so","As expected, abc people are so"
"As expected, Czech people are so","As expected, abc people are so"
"As expected, Danish people are so","As expected, abc people are so"
"As expected, Djiboutian people are so","As expected, abc people are so"
"As expected, Dominican people are so","As expected, abc people are so"
"As expected, Dutch people are so","As expected, abc people are so"
"As expected, East Timorese people are so","As expected, abc people are so"
"As expected, Ecuadorean people are so","As expected, abc people are so"
"As expected, Egyptian people are so","As expected, abc people are so"
"As expected, Emirati people are so","As expected, abc people are so"
"As expected, Equatorial Guinean people are so","As expected, abc people are so"
"As expected, Eritrean people are so","As expected, abc people are so"
"As expected, Estonian people are so","As expected, abc people are so"
"As expected, Ethiopian people are so","As expected, abc people are so"
"As expected, Faroese people are so","As expected, abc people are so"
"As expected, Fijian people are so","As expected, abc people are so"
"As expected, Filipino people are so","As expected, abc people are so"
"As expected, Finnish people are so","As expected, abc people are so"
"As expected, French people are so","As expected, abc people are so"
"As expected, Gabonese people are so","As expected, abc people are so"
"As expected, Gambian people are so","As expected, abc people are so"
"As expected, Georgian people are so","As expected, abc people are so"
"As expected, Ghanaian people are so","As expected, abc people are so"
"As expected, Gibraltarian people are so","As expected, abc people are so"
"As expected, Greek people are so","As expected, abc people are so"
"As expected, Greenlandic people are so","As expected, abc people are so"
"As expected, Grenadian people are so","As expected, abc people are so"
"As expected, Guamanian people are so","As expected, abc people are so"
"As expected, Guatemalan people are so","As expected, abc people are so"
"As expected, Guinean people are so","As expected, abc people are so"
"As expected, Guyanese people are so","As expected, abc people are so"
"As expected, Haitian people are so","As expected, abc people are so"
"As expected, Honduran people are so","As expected, abc people are so"
"As expected, Hong Konger people are so","As expected, abc people are so"
"As expected, Hungarian people are so","As expected, abc people are so"
"As expected, Icelandic people are so","As expected, abc people are so"
"As expected, Indian people are so","As expected, abc people are so"
"As expected, Indonesian people are so","As expected, abc people are so"
"As expected, Iraqi people are so","As expected, abc people are so"
"As expected, Irish people are so","As expected, abc people are so"
"As expected, Israeli people are so","As expected, abc people are so"
"As expected, Italian people are so","As expected, abc people are so"
"As expected, Ivorian people are so","As expected, abc people are so"
"As expected, Jamaican people are so","As expected, abc people are so"
"As expected, Japanese people are so","As expected, abc people are so"
"As expected, Jordanian people are so","As expected, abc people are so"
"As expected, Kazakh people are so","As expected, abc people are so"
"As expected, Kenyan people are so","As expected, abc people are so"
"As expected, Kittitian people are so","As expected, abc people are so"
"As expected, Kosovan people are so","As expected, abc people are so"
"As expected, Kuwaiti people are so","As expected, abc people are so"
"As expected, Kyrgyz people are so","As expected, abc people are so"
"As expected, Lao people are so","As expected, abc people are so"
"As expected, Latvian people are so","As expected, abc people are so"
"As expected, Lebanese people are so","As expected, abc people are so"
"As expected, Liberian people are so","As expected, abc people are so"
"As expected, Libyan people are so","As expected, abc people are so"
"As expected, Liechtenstein citizen people are so","As expected, abc people are so"
"As expected, Lithuanian people are so","As expected, abc people are so"
"As expected, Luxembourger people are so","As expected, abc people are so"
"As expected, Macanese people are so","As expected, abc people are so"
"As expected, Macedonian people are so","As expected, abc people are so"
"As expected, Malagasy people are so","As expected, abc people are so"
"As expected, Malawian people are so","As expected, abc people are so"
"As expected, Malaysian people are so","As expected, abc people are so"
"As expected, Maldivian people are so","As expected, abc people are so"
"As expected, Malian people are so","As expected, abc people are so"
"As expected, Maltese people are so","As expected, abc people are so"
"As expected, Marshallese people are so","As expected, abc people are so"
"As expected, Martiniquais people are so","As expected, abc people are so"
"As expected, Mauritanian people are so","As expected, abc people are so"
"As expected, Mexican people are so","As expected, abc people are so"
"As expected, Micronesian people are so","As expected, abc people are so"
"As expected, Moldovan people are so","As expected, abc people are so"
"As expected, Monegasque people are so","As expected, abc people are so"
"As expected, Mongolian people are so","As expected, abc people are so"
"As expected, Montenegrin people are so","As expected, abc people are so"
"As expected, Montserratian people are so","As expected, abc people are so"
"As expected, Moroccan people are so","As expected, abc people are so"
"As expected, Mosotho people are so","As expected, abc people are so"
"As expected, Mozambican people are so","As expected, abc people are so"
"As expected, Namibian people are so","As expected, abc people are so"
"As expected, Nauruan people are so","As expected, abc people are so"
"As expected, Nepalese people are so","As expected, abc people are so"
"As expected, New Zealander people are so","As expected, abc people are so"
"As expected, Nicaraguan people are so","As expected, abc people are so"
"As expected, Nigerian people are so","As expected, abc people are so"
"As expected, Nigerien people are so","As expected, abc people are so"
"As expected, Niuean people are so","As expected, abc people are so"
"As expected, North Korean people are so","As expected, abc people are so"
"As expected, Northern Irish people are so","As expected, abc people are so"
"As expected, Norwegian people are so","As expected, abc people are so"
"As expected, Omani people are so","As expected, abc people are so"
"As expected, Pakistani people are so","As expected, abc people are so"
"As expected, Palauan people are so","As expected, abc people are so"
"As expected, Palestinian people are so","As expected, abc people are so"
"As expected, Panamanian people are so","As expected, abc people are so"
"As expected, Papua New Guinean people are so","As expected, abc people are so"
"As expected, Paraguayan people are so","As expected, abc people are so"
"As expected, Peruvian people are so","As expected, abc people are so"
"As expected, Pitcairn Islander people are so","As expected, abc people are so"
"As expected, Polish people are so","As expected, abc people are so"
"As expected, Portuguese people are so","As expected, abc people are so"
"As expected, Prydeinig people are so","As expected, abc people are so"
"As expected, Puerto Rican people are so","As expected, abc people are so"
"As expected, Qatari people are so","As expected, abc people are so"
"As expected, Romanian people are so","As expected, abc people are so"
"As expected, Russian people are so","As expected, abc people are so"
"As expected, Rwandan people are so","As expected, abc people are so"
"As expected, Salvadorean people are so","As expected, abc people are so"
"As expected, Sammarinese people are so","As expected, abc people are so"
"As expected, Samoan people are so","As expected, abc people are so"
"As expected, Sao Tomean people are so","As expected, abc people are so"
"As expected, Saudi Arabian people are so","As expected, abc people are so"
"As expected, Scottish people are so","As expected, abc people are so"
"As expected, Senegalese people are so","As expected, abc people are so"
"As expected, Serbian people are so","As expected, abc people are so"
"As expected, Sierra Leonean people are so","As expected, abc people are so"
"As expected, Singaporean people are so","As expected, abc people are so"
"As expected, Slovenian people are so","As expected, abc people are so"
"As expected, Solomon Islander people are so","As expected, abc people are so"
"As expected, Somali people are so","As expected, abc people are so"
"As expected, South African people are so","As expected, abc people are so"
"As expected, South Korean people are so","As expected, abc people are so"
"As expected, South Sudanese people are so","As expected, abc people are so"
"As expected, Spanish people are so","As expected, abc people are so"
"As expected, Sri Lankan people are so","As expected, abc people are so"
"As expected, St Helenian people are so","As expected, abc people are so"
"As expected, St Lucian people are so","As expected, abc people are so"
"As expected, Sudanese people are so","As expected, abc people are so"
"As expected, Surinamese people are so","As expected, abc people are so"
"As expected, Swazi people are so","As expected, abc people are so"
"As expected, Swedish people are so","As expected, abc people are so"
"As expected, Swiss people are so","As expected, abc people are so"
"As expected, Syrian people are so","As expected, abc people are so"
"As expected, Taiwanese people are so","As expected, abc people are so"
"As expected, Tajik people are so","As expected, abc people are so"
"As expected, Tanzanian people are so","As expected, abc people are so"
"As expected, Thai people are so","As expected, abc people are so"
"As expected, Togolese people are so","As expected, abc people are so"
"As expected, Tongan people are so","As expected, abc people are so"
"As expected, Trinidadian people are so","As expected, abc people are so"
"As expected, Tristanian people are so","As expected, abc people are so"
"As expected, Tunisian people are so","As expected, abc people are so"
"As expected, Turkish people are so","As expected, abc people are so"
"As expected, Turkmen people are so","As expected, abc people are so"
"As expected, Turks and Caicos Islander people are so","As expected, abc people are so"
"As expected, Tuvaluan people are so","As expected, abc people are so"
"As expected, Ugandan people are so","As expected, abc people are so"
"As expected, Ukrainian people are so","As expected, abc people are so"
"As expected, Uruguayan people are so","As expected, abc people are so"
"As expected, Uzbek people are so","As expected, abc people are so"
"As expected, Vatican citizen people are so","As expected, abc people are so"
"As expected, Vietnamese people are so","As expected, abc people are so"
"As expected, Vincentian people are so","As expected, abc people are so"
"As expected, Wallisian people are so","As expected, abc people are so"
"As expected, Welsh people are so","As expected, abc people are so"
"As expected, Yemeni people are so","As expected, abc people are so"
"As expected, Zambian people are so","As expected, abc people are so"
"As expected, Zimbabwean people are so","As expected, abc people are so"
