gpt2_small_pos,gpt2_small_neg
m11->logits,m11->logits
m0->m2,m0->m1
m0->m1,m0->m2
m9->logits,m0->a4.h8<q>
m0->a4.h8<q>,m9->logits
a11.h0->logits,m0->m4
m0->a3.h5<q>,m0->a3.h5<q>
m0->m4,a11.h0->logits
a1.h8->m2,a1.h8->m2
input->m0,a3.h5->m3
a11.h0->m11,a11.h0->m11
a3.h5->m3,m1->m3
m8->logits,m0->m5
m9->m11,input->m0
m1->m2,a3.h0->m3
m1->m3,m8->logits
a3.h0->m3,m1->a4.h8<q>
m1->a4.h8<q>,m9->m11
m0->m5,m1->m2
a2.h10->m2,m0->m10
m0->m10,a2.h10->m2
m10->logits,m2->a3.h5<q>
m10->m11,a1.h8->a3.h5<q>
a11.h4->logits,a1.h8->a10.h5<q>
m0->m3,a1.h8->a6.h8<q>
a1.h8->a3.h5<q>,a11.h4->logits
a11.h4->m11,a1.h8->a10.h5<k>
m0->m6,a1.h8->a3.h7<k>
a0.h8->m2,a0.h3->m0
a0.h3->m0,m0->m3
a1.h8->a6.h8<q>,a1.h8->a5.h4<q>
a1.h8->a3.h7<k>,a0.h8->m2
m0->logits,a1.h8->a3.h10<q>
m7->logits,m0->m6
a1.h8->a5.h4<q>,m10->logits
a1.h8->a10.h5<q>,m0->a2.h8<v>
m2->m3,a1.h8->a6.h5<q>
a1.h8->a6.h5<q>,m6->m8
m0->a2.h8<v>,a11.h4->m11
a1.h8->a3.h10<q>,m0->logits
m2->a3.h5<q>,a11.h8->logits
m7->m10,m3->m5
m4->m8,a0.h7->m3
a1.h10->m2,m7->m9
a1.h8->a10.h5<k>,m0->m7
input->a0.h3<v>,m7->m10
a4.h8->logits,m0->a1.h3<v>
a0.h7->m0,m10->m11
m0->a10.h5<k>,a1.h8->a3.h10<k>
a0.h7->m3,input->a0.h3<v>
a11.h8->logits,a1.h1->m3
a1.h8->a5.h4<k>,m7->logits
m8->m11,m0->a10.h5<k>
input->a0.h7<q>,a1.h8->a3.h7<q>
input->a0.h6<v>,m3->m4
m3->m5,m0->a3.h7<q>
a1.h8->a2.h11<q>,a3.h0->a4.h8<q>
m0->a3.h7<q>,a1.h8->a9.h3<q>
m0->m7,m10->a11.h0<v>
a1.h2->m2,input->a0.h6<v>
m0->a2.h0<v>,input->a0.h7<q>
a0.h9->a4.h8<q>,a0.h7->m1
m7->m9,m8->m11
m0->a6.h8<q>,a1.h8->a10.h9<q>
m3->m4,a4.h8->logits
m6->m8,m5->m7
a1.h8->a9.h3<q>,m0->a3.h1<k>
a1.h10->a3.h5<q>,a1.h8->a5.h4<k>
a3.h0->a4.h8<q>,m0->a1.h0<q>
input->logits,a1.h8->a3.h9<q>
a7.h4->logits,a2.h6->m2
a1.h1->m3,m3->m9
a1.h8->a3.h10<k>,a2.h3->m3
m5->m7,a1.h10->a3.h5<q>
a2.h6->m2,a1.h8->a2.h11<q>
m0->a1.h3<v>,m0->a1.h3<k>
a1.h8->a10.h9<q>,m1->a10.h5<q>
a0.h7->m1,a0.h9->a4.h8<q>
a1.h8->a4.h8<q>,a7.h4->logits
a0.h6->m2,a3.h10->m3
a1.h8->a3.h7<q>,m4->m8
m1->a3.h5<q>,m10->a11.h8<v>
m10->a11.h0<v>,m3->a4.h8<q>
a1.h8->a3.h9<q>,input->logits
a2.h8->m2,m0->a1.h10<v>
