gpt2_large_pos_DSS1,gpt2_large_neg_DSS1,gpt2_large_pos_DSS2,gpt2_large_neg_DSS2,gpt2_large_FB_GSS1,gpt2_large_FB_GSS2,gpt2_large_MB_GSS1,gpt2_large_MB_GSS2
m35->logits,m35->logits,m35->logits,m35->logits,m35->logits,m35->logits,m35->logits,m35->logits
m33->m35,m33->m35,m32->logits,m32->logits,a33.h11->logits,a32.h2->logits,a33.h11->logits,a33.h11->logits
m33->logits,a32.h2->logits,m33->m35,m0->m4,m33->logits,a33.h11->logits,m33->logits,a32.h2->logits
m32->logits,m32->logits,m33->logits,m33->m35,a34.h2->logits,a34.h2->logits,a34.h2->logits,a34.h2->logits
a32.h2->logits,a34.h2->logits,a34.h2->logits,a34.h2->logits,a32.h2->logits,m34->m35,a32.h2->logits,m34->m35
a34.h2->logits,m33->logits,a34.h2->m35,a34.h2->m35,a33.h11->m35,a32.h2->m35,a33.h11->m35,a33.h11->m35
m31->logits,m34->logits,m0->m4,m33->logits,m34->m35,a33.h11->m35,m34->m35,a32.h2->m35
a34.h2->m35,a34.h2->m35,m12->m14,m12->m14,a34.h2->m35,a34.h2->m35,a34.h2->m35,m33->logits
m31->m35,m31->m35,a32.h2->logits,m11->m14,a32.h2->m35,m33->logits,a32.h2->m35,a34.h2->m35
a32.h2->m35,a32.h2->m35,m34->m35,a32.h2->logits,m33->m35,m32->logits,m33->m35,m32->logits
a33.h11->logits,m34->m35,a32.h2->m35,m11->m12,m32->logits,m34->logits,m32->logits,m34->logits
m34->m35,m31->logits,m7->m10,m7->m10,m22->logits,m22->logits,m22->logits,m22->logits
a33.h11->m35,m32->m33,m11->m12,m0->m2,m34->logits,m27->logits,m34->logits,m27->logits
m32->m33,a33.h11->m35,m11->m14,m12->m15,a35.h17->logits,m24->logits,a35.h17->logits,m24->logits
m0->m18,a33.h11->logits,m4->m8,m4->m8,m23->logits,m8->logits,m23->logits,m8->logits
